debug on
processing norms
0.0 0 2
0.0 0 3
0.0 0 4
0.0 0 5
0.0 0 6
0.0 0 7
0.0 0 8
0.0 0 9
0.0 0 10
0.0 0 11
0.0 0 12
0.0 0 13
0.0 0 14
0.0 0 15
0.0 0 16
0.0 1 0
74.4804577233328 1 1
0.0 1 2
0.0 1 3
0.0 1 4
0.0 1 5
0.0 1 6
0.0 1 7
0.0 1 8
0.0 1 9
0.0 1 10
0.0 1 11
0.0 1 12
0.0 1 13
0.0 1 14
0.0 1 15
0.0 1 16
118.6402280672868 2 0
0.0 2 1
54.81443332240879 2 2
0.0 2 3
0.0 2 4
0.0 2 5
0.0 2 6
0.0 2 7
0.0 2 8
0.0 2 9
0.0 2 10
0.0 2 11
0.0 2 12
0.0 2 13
0.0 2 14
0.0 2 15
0.0 2 16
0.0 3 0
109.81244832062697 3 1
0.0 3 2
76.72080555232172 3 3
0.0 3 4
0.0 3 5
0.0 3 6
0.0 3 7
0.0 3 8
0.0 3 9
0.0 3 10
0.0 3 11
0.0 3 12
0.0 3 13
0.0 3 14
0.0 3 15
0.0 3 16
264.09003936328 4 0
0.0 4 1
62.707797088025536 4 2
0.0 4 3
102.23504957895916 4 4
0.0 4 5
0.0 4 6
0.0 4 7
0.0 4 8
0.0 4 9
0.0 4 10
0.0 4 11
0.0 4 12
0.0 4 13
0.0 4 14
0.0 4 15
0.0 4 16
0.0 5 0
320.46792373670536 5 1
0.0 5 2
221.02513764561363 5 3
0.0 5 4
99.74005925690751 5 5
0.0 5 6
0.0 5 7
0.0 5 8
0.0 5 9
0.0 5 10
0.0 5 11
0.0 5 12
0.0 5 13
0.0 5 14
0.0 5 15
0.0 5 16
902.6234679450637 6 0
0.0 6 1
129.80196834944954 6 2
0.0 6 3
425.6423888403505 6 4
0.0 6 5
89.36861554676454 6 6
0.0 6 7
0.0 6 8
0.0 6 9
0.0 6 10
0.0 6 11
0.0 6 12
0.0 6 13
0.0 6 14
0.0 6 15
0.0 6 16
0.0 7 0
1215.6232190935827 7 1
0.0 7 2
895.3444894917415 7 3
0.0 7 4
463.17667591650934 7 5
0.0 7 6
147.0116162122061 7 7
0.0 7 8
0.0 7 9
0.0 7 10
0.0 7 11
0.0 7 12
0.0 7 13
0.0 7 14
0.0 7 15
0.0 7 16
3623.043312131516 8 0
0.0 8 1
392.89188478712435 8 2
0.0 8 3
1996.445857703428 8 4
0.0 8 5
357.3269732217082 8 6
0.0 8 7
222.29119581458374 8 8
0.0 8 9
0.0 8 10
0.0 8 11
0.0 8 12
0.0 8 13
0.0 8 14
0.0 8 15
0.0 8 16
0.0 9 0
5145.1831589115845 9 1
0.0 9 2
3991.331998615667 9 3
0.0 9 4
2340.2521083393626 9 5
0.0 9 6
967.3823597940005 9 7
0.0 9 8
233.87414995659543 9 9
0.0 9 10
0.0 9 11
0.0 9 12
0.0 9 13
0.0 9 14
0.0 9 15
0.0 9 16
15807.506883715778 10 0
0.0 10 1
1399.5601508913785 10 2
0.0 10 3
9661.661883259185 10 4
0.0 10 5
1573.497188923421 10 6
0.0 10 7
1805.2364364527248 10 8
0.0 10 9
219.04143178797585 10 10
0.0 10 11
0.0 10 12
0.0 10 13
0.0 10 14
0.0 10 15
0.0 10 16
0.0 11 0
23220.869988969105 11 1
0.0 11 2
18704.919616558465 11 3
0.0 11 4
11952.669817103611 11 5
0.0 11 6
5836.99177607844 11 7
0.0 11 8
2006.8545132303275 11 9
0.0 11 10
390.58278835752714 11 11
0.0 11 12
0.0 11 13
0.0 11 14
0.0 11 15
0.0 11 16
72759.60127434443 12 0
0.0 12 1
5457.280357655111 12 2
0.0 12 3
47837.18529295455 12 4
0.0 12 5
7113.796775801599 12 6
0.0 12 7
12131.563316700707 12 8
0.0 12 9
1710.8442550010652 12 10
0.0 12 11
621.3526232150231 12 12
0.0 12 13
0.0 12 14
0.0 12 15
0.0 12 16
0.0 13 0
109446.43935144905 13 1
0.0 13 2
90680.41632509131 13 3
0.0 13 4
61647.34486994305 13 5
0.0 13 6
33624.94318641048 13 7
0.0 13 8
14085.175452218204 13 9
0.0 13 10
4141.309555928105 13 11
0.0 13 12
673.9240427278842 13 13
0.0 13 14
0.0 13 15
0.0 13 16
347733.279761467 14 0
0.0 14 1
22631.506639883068 14 2
0.0 14 3
241331.1373557137 14 4
0.0 14 5
32885.31951834631 14 6
0.0 14 7
75101.56591180536 14 8
0.0 14 9
10957.177561171844 14 10
0.0 14 11
7579.310973555666 14 12
0.0 14 13
643.2266603541249 14 14
0.0 14 15
0.0 14 16
0.0 15 0
532336.1792737899 15 1
0.0 15 2
450766.8566837458 15 3
0.0 15 4
321097.60952178505 15 5
0.0 15 6
189627.2815014074 15 7
0.0 15 8
90409.97578972924 15 9
0.0 15 10
33173.21879535354 15 11
0.0 15 12
8513.73273597638 15 13
0.0 15 14
1190.0530537980683 15 15
0.0 15 16
1708912.0897186876 16 0
0.0 16 1
98218.20665471413 16 2
0.0 16 3
1236513.675355395 16 4
0.0 16 5
155103.57723851278 16 6
0.0 16 7
446433.67182424886 16 8
0.0 16 9
64537.63857969404 16 10
0.0 16 11
66251.63754589683 16 12
0.0 16 13
7586.6901738772 16 14
0.0 16 15
1940.3184479696881 16 16
processing Zernike layer
processing norms
128.0 0 0
0.0 0 1
0.0 0 2
0.0 0 3
0.0 0 4
0.0 0 5
0.0 0 6
0.0 0 7
0.0 0 8
0.0 1 0
74.4804577233328 1 1
0.0 1 2
0.0 1 3
0.0 1 4
0.0 1 5
0.0 1 6
0.0 1 7
0.0 1 8
118.6402280672868 2 0
0.0 2 1
54.81443332240879 2 2
0.0 2 3
0.0 2 4
0.0 2 5
0.0 2 6
0.0 2 7
0.0 2 8
0.0 3 0
109.81244832062697 3 1
0.0 3 2
76.72080555232172 3 3
0.0 3 4
0.0 3 5
0.0 3 6
0.0 3 7
0.0 3 8
264.09003936328 4 0
0.0 4 1
62.707797088025536 4 2
0.0 4 3
102.23504957895916 4 4
0.0 4 5
0.0 4 6
0.0 4 7
0.0 4 8
0.0 5 0
320.46792373670536 5 1
0.0 5 2
221.02513764561363 5 3
0.0 5 4
99.74005925690751 5 5
0.0 5 6
0.0 5 7
0.0 5 8
902.6234679450637 6 0
0.0 6 1
129.80196834944954 6 2
0.0 6 3
425.6423888403505 6 4
0.0 6 5
89.36861554676454 6 6
0.0 6 7
0.0 6 8
0.0 7 0
1215.6232190935827 7 1
0.0 7 2
895.3444894917415 7 3
0.0 7 4
463.17667591650934 7 5
0.0 7 6
147.0116162122061 7 7
0.0 7 8
3623.043312131516 8 0
0.0 8 1
392.89188478712435 8 2
0.0 8 3
1996.445857703428 8 4
0.0 8 5
357.3269732217082 8 6
0.0 8 7
222.29119581458374 8 8
processing Zernike layer
processing norms
128.0 0 0
0.0 0 1
0.0 0 2
0.0 0 3
0.0 0 4
0.0 1 0
74.4804577233328 1 1
0.0 1 2
0.0 1 3
0.0 1 4
118.6402280672868 2 0
0.0 2 1
54.81443332240879 2 2
0.0 2 3
0.0 2 4
0.0 3 0
109.81244832062697 3 1
0.0 3 2
76.72080555232172 3 3
0.0 3 4
264.09003936328 4 0
0.0 4 1
62.707797088025536 4 2
0.0 4 3
102.23504957895916 4 4
processing Zernike layer
processing norms
128.0 0 0
0.0 0 1
0.0 0 2
0.0 1 0
74.4804577233328 1 1
0.0 1 2
118.6402280672868 2 0
0.0 2 1
54.81443332240879 2 2
processing Zernike layer
processing norms
128.0 0 0
0.0 0 1
0.0 1 0
74.4804577233328 1 1
processing Zernike layer
